date=05-12-2024, time=12:29:16, id=16, deviceList=111111111111100000000000, readList=000000001100000000000000, code=0050114732
date=05-12-2024, time=12:29:50, id=16, deviceList=111111111111100000000000, readList=000100000100000000000000, code=0050114732
date=05-12-2024, time=12:30:22, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=05-12-2024, time=12:37:48, id=16, deviceList=111111111111100000000000, readList=111100001100000000000000, code=0050116109
date=05-12-2024, time=12:38:43, id=16, deviceList=111111111111100000000000, readList=001111001100000000000000, code=0050116336
date=05-12-2024, time=12:47:11, id=16, deviceList=111111111111100000000000, readList=110100000000000000000000, code=0050116111
date=05-12-2024, time=12:48:01, id=16, deviceList=111111111111100000000000, readList=110000000000000000000000, code=0050116111
date=06-12-2024, time=09:47:55, id=16, deviceList=111111111111100000000000, readList=001111001100000000000000, code=0050120165
date=06-12-2024, time=09:47:59, id=16, deviceList=111111111111100000000000, readList=001111001100000000000000, code=0050120466
date=06-12-2024, time=15:18:16, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=09-12-2024, time=22:37:24, id=16, deviceList=111111111111100000000000, readList=110000000000000000000000, code=0050116111
date=13-12-2024, time=15:27:40, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=18-12-2024, time=10:56:41, id=16, deviceList=111111111111100000000000, readList=001001000000000000000000, code=0425522517
date=18-12-2024, time=10:56:52, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=18-12-2024, time=10:56:58, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=18-12-2024, time=10:57:08, id=16, deviceList=111111111111100000000000, readList=111100001000000000000000, code=0425608015
date=24-12-2024, time=05:03:13, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=24-12-2024, time=05:04:11, id=16, deviceList=111111111111100000000000, readList=001111011100000000000000, code=0425654690
date=24-12-2024, time=05:06:04, id=16, deviceList=111111111111100000000000, readList=001111001100000000000000, code=0425654679
date=28-12-2024, time=16:33:32, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=28-12-2024, time=16:33:35, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=28-12-2024, time=16:33:38, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=28-12-2024, time=16:33:40, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
date=28-12-2024, time=16:33:43, id=16, deviceList=111111111111100000000000, readList=000000000000000000000000, code=NO READ
