date=05-12-2024, time=01:57:02, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=03:33:28, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=03:40:24, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=04:21:45, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425485845
date=05-12-2024, time=05:02:34, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425432898
date=05-12-2024, time=05:05:12, id=18, deviceList=111111000000000000000000, readList=110011000000000000000000, code=0425482405
date=05-12-2024, time=05:05:15, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:05:17, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425482403
date=05-12-2024, time=05:05:21, id=18, deviceList=111111000000000000000000, readList=000100000000000000000000, code=0425482406
date=05-12-2024, time=05:05:24, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:05:28, id=18, deviceList=111111000000000000000000, readList=000001000000000000000000, code=0425485843
date=05-12-2024, time=05:05:30, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425485845
date=05-12-2024, time=05:05:33, id=18, deviceList=111111000000000000000000, readList=010010000000000000000000, code=0425485844
date=05-12-2024, time=05:05:36, id=18, deviceList=111111000000000000000000, readList=000110000000000000000000, code=0425485846
date=05-12-2024, time=05:05:40, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:05:42, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425485847
date=05-12-2024, time=05:05:45, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425485849
date=05-12-2024, time=05:05:48, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425485850
date=05-12-2024, time=05:05:52, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:05:55, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:05:57, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425485852
date=05-12-2024, time=05:08:27, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425485851
date=05-12-2024, time=05:08:48, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425485848
date=05-12-2024, time=05:22:39, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425483230
date=05-12-2024, time=05:25:41, id=18, deviceList=111111000000000000000000, readList=110101000000000000000000, code=0425489057
date=05-12-2024, time=05:35:06, id=18, deviceList=111111000000000000000000, readList=110001000000000000000000, code=0425490801
date=05-12-2024, time=05:35:09, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0425490800
date=05-12-2024, time=05:35:11, id=18, deviceList=111111000000000000000000, readList=110011000000000000000000, code=0425432892
date=05-12-2024, time=05:35:13, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425432894
date=05-12-2024, time=05:35:15, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425432895
date=05-12-2024, time=05:35:17, id=18, deviceList=111111000000000000000000, readList=001010000000000000000000, code=0425490745
date=05-12-2024, time=05:35:20, id=18, deviceList=111111000000000000000000, readList=000100000000000000000000, code=0425489163
date=05-12-2024, time=05:35:22, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425432896
date=05-12-2024, time=05:35:24, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:35:28, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:35:30, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=05:35:33, id=18, deviceList=111111000000000000000000, readList=000001000000000000000000, code=0425432897
date=05-12-2024, time=05:35:35, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425489167
date=05-12-2024, time=05:35:38, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425432898
date=05-12-2024, time=05:35:41, id=18, deviceList=111111000000000000000000, readList=001101000000000000000000, code=0425489169
date=05-12-2024, time=05:35:44, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0425489168
date=05-12-2024, time=05:35:47, id=18, deviceList=111111000000000000000000, readList=011000000000000000000000, code=0425483228
