RDT400 Server V3.30
Site:11
System: Barcode scanner PLC01 (Sick); System type: OPS
Date: 05-12-2024  00:00:31
Date    ;ID;CT;IDX ;TLE;TGA;V ;DEVICE LIST             ;ERROR LIST              ;OUTPUT  ;ENR;R;CODE1 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE2 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE3 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;INFO1;INFO2;CUSTOM1;CUSTOM2;
00:08:01;11;17;9999;069;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111100000011000000000000;____;01;031;055;005;031;043;059;0425489802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:05;11;18;9999;081;253;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111000001001000000000000;____;01;041;061;009;031;051;062;0425489800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:11;11;19;9999;056;462;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000010100010000000000000;____;05;063;024;004;050;063;058;0425490600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:15;11;20;9999;064;188;02;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111011001101000000000000;____;12;037;056;004;021;047;111;0425482405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:20;11;21;9999;063;362;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111100000001000000000000;____;01;019;067;017;019;030;079;0425490801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:23;11;22;9999;053;158;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000010101010000000000000;____;11;053;021;004;047;066;020;0425482003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:29;11;23;9999;079;493;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101100000000000000000000;____;01;046;067;020;039;056;095;0425482404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:33;11;24;9999;075;235;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;05;052;030;025;037;053;059;0425482403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:36;11;25;9999;060;155;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;03;032;045;026;024;042;094;0425490201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:08:38;11;26;9999;080;185;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011111001100000000000000;____;03;055;067;020;008;065;124;0425489801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:09:22;11;27;9999;053;999;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001011100100000000000000;____;03;029;051;050;021;035;073;0425490602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:09:32;11;28;9999;080;820;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000001000000000000000;____;01;035;052;046;034;040;016;0425490603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:09:36;11;29;9999;057;220;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001000000000000000;____;09;016;047;034;009;028;072;0425490800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:09:42;11;30;9999;051;461;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000000010000000000000;____;11;001;064;004;001;001;009;0425482406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:10:01;11;31;9999;073;999;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000000101000000000000;____;12;042;057;004;036;042;041;0425482402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
