RDT400 Server V3.30
Site: 
System: Barcode scanner BEUMER B10 (Sick); System type: OPS
Date: 23-12-2024  00:00:09
Date    ;ID;CT;IDX ;TLE;TGA;V ;DEVICE LIST             ;ERROR LIST              ;OUTPUT  ;ENR;R;CODE1 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE2 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE3 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;INFO1;INFO2;CUSTOM1;CUSTOM2;
00:01:28;18;44;7766;090;999;18;111111000000000000000000;000000000000000000000000;00000000;706;_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0374 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:24975 IncEnd:25047 TM:FWD ICD:UP  OX:7766;
00:05:13;18;45;7767;090;999;18;111111000000000000000000;000000000000000000000000;00000000;704;_;e;10;001000000000000000000000;____;03;064;022;022;064;064;002;0316130801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0375 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:57519 IncEnd:57591 TM:FWD ICD:UP  OX:7767;
00:05:16;18;46;7768;090;390;18;111111000000000000000000;000000000000000000000000;00000000;705;_;e;10;001010000000000000000000;____;05;086;041;004;084;086;045;0316130802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0376 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:57903 IncEnd:57975 TM:FWD ICD:UP  OX:7768;
00:05:20;18;47;7769;090;630;18;111111000000000000000000;000000000000000000000000;00000000;706;_;e;10;100010000000000000000000;____;05;054;079;014;054;060;009;0316130803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0377 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:58479 IncEnd:58551 TM:FWD ICD:UP  OX:7769;
00:05:21;18;48;7770;090;150;18;111111000000000000000000;000000000000000000000000;00000000;704;_;e;10;001101000000000000000000;____;03;048;029;011;046;049;061;0316130804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0378 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:58671 IncEnd:58743 TM:FWD ICD:UP  OX:7770;
00:05:23;18;49;7771;090;270;18;111111000000000000000000;000000000000000000000000;00000000;705;_;e;10;011010000000000000000000;____;05;086;055;011;083;086;068;0316130806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0379 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:58959 IncEnd:59031 TM:FWD ICD:UP  OX:7771;
00:05:26;18;50;7772;090;510;18;111111000000000000000000;000000000000000000000000;00000000;706;_;e;10;000001000000000000000000;____;06;010;041;002;010;010;013;0316130808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0380 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:59439 IncEnd:59511 TM:FWD ICD:UP  OX:7772;
00:05:28;18;51;7773;090;270;18;111111000000000000000000;000000000000000000000000;00000000;704;_;e;10;010000000000000000000000;____;02;068;080;006;068;068;021;0316130805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0381 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:59727 IncEnd:59799 TM:FWD ICD:UP  OX:7773;
00:05:32;18;52;7774;090;630;18;111111000000000000000000;000000000000000000000000;00000000;705;_;e;10;011001000000000000000000;____;06;018;048;007;018;029;049;0316130810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0382 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:60303 IncEnd:60375 TM:FWD ICD:UP  OX:7774;
00:05:36;18;53;7775;090;510;18;111111000000000000000000;000000000000000000000000;00000000;706;_;e;10;011011000000000000000000;____;06;016;031;007;014;026;099;0316130811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ON:0383 L:0000 W:0000 H:0000;RV:0000000 LF:N LS:7 W:000000;;IncStart:60783 IncEnd:60855 TM:FWD ICD:UP  OX:7775;
