RDT400 Server V3.30
Site: 
System: Barcode scanner PLC02 (Sick); System type: OPS
Date: 30-12-2024  00:00:32
Date    ;ID;CT;IDX ;TLE;TGA;V ;DEVICE LIST             ;ERROR LIST              ;OUTPUT  ;ENR;R;CODE1 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE2 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;CODE3 ID;LENGTH;READ LIST;RES;CLV ID;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;XPOS;YPOS;ZPOS;XMIN;XMAX;CS;CODE CONTENT;INFO1;INFO2;CUSTOM1;CUSTOM2;
04:21:51;12;20;9999;062;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001101000000000000;____;04;001;072;012;-07;047;157;0425718488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:26:57;12;21;9999;076;999;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101111001100000000000000;____;05;041;055;030;010;043;084;0425720402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:56:45;12;22;9999;069;999;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000001100000000000000;____;10;007;079;004;006;055;047;0425716671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:57:48;12;23;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001100000100000000000000;____;04;036;078;010;034;037;044;0425716672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:13:02;12;24;9999;072;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;010000000000000000000000;____;02;040;094;011;040;040;033;0425719833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:14:33;12;25;9999;058;999;08;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000000101000000000000;____;10;-04;079;013;-04;042;039;0425719834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:19:11;12;26;9999;058;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000110010000000000000;____;07;027;024;012;025;029;046;0425718735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:20:01;12;27;9999;077;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000000000000000000000;____;01;031;097;008;031;032;033;0425719837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:21:00;12;28;9999;038;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000001000000000000000;____;09;041;073;009;041;044;018;0425719841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:26:22;12;29;9999;054;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000110111100000000000000;____;10;003;069;024;003;038;076;0425719843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:26:32;12;30;9999;059;743;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000000000000000000000;____;02;040;103;010;038;040;016;0425718864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:26:58;12;31;9999;054;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001000000100000000000000;____;03;008;082;035;-06;008;012;0425697546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:29:25;12;32;9999;056;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001100000000000000;____;09;-05;080;025;-08;017;104;0425719846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:13;12;33;9999;054;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011001001100000000000000;____;09;-03;079;016;-07;020;086;0425719845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30:47;12;34;9999;061;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000000101000000000000;____;12;008;079;004;007;010;024;0425720313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:32:47;12;35;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;10;035;065;027;034;042;079;0425716683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:34:36;12;36;9999;066;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000110001100000000000000;____;10;-01;077;013;-04;024;061;0425719849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:36:06;12;37;9999;061;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000100000100000000000000;____;10;-01;079;003;-01;021;074;0425700861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:36:18;12;38;9999;062;964;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;03;-01;077;024;-07;025;127;0425719850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:36:36;12;39;9999;060;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001001110001000000000000;____;08;025;052;008;023;030;048;0425700860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:38:18;12;40;9999;054;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001101000000000000;____;10;-06;083;012;-10;000;125;0425720506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:38:35;12;41;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000011101000000000000000;____;05;037;053;030;037;042;047;0425719851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:39:26;12;42;9999;052;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001101000000000000;____;04;-05;083;014;-11;013;146;0425720507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:39:56;12;43;9999;056;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100100000101000000000000;____;10;-05;082;008;-05;021;098;0425720317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:41:38;12;44;9999;041;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000010000000000000000000;____;05;004;075;023;004;004;003;0425720319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:42:37;12;45;9999;077;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011100000000000000000000;____;02;030;095;029;028;030;033;0425720431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:43:45;12;46;9999;054;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001111000000000000;____;10;-06;063;008;-14;018;197;0425718868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:43:59;12;47;9999;066;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001101000000000000;____;09;-03;070;017;-06;033;095;0425720432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:44:14;12;48;9999;049;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101001000000000000000000;____;01;037;101;014;027;042;049;0425719852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:23;12;49;9999;051;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000011111000000000000000;____;08;027;047;018;025;030;099;0425719854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45:27;12;50;9999;063;278;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000000101000000000000;____;10;-03;074;013;-04;-01;016;0425697551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:46:11;12;51;9999;076;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100100000101000000000000;____;10;000;077;004;-01;027;090;0425719855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:46:31;12;52;9999;050;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000001000000000000000000;____;06;007;074;021;007;008;007;0425718747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:46:49;12;53;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101110001100000000000000;____;05;-07;030;093;-07;034;075;0425720434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:48:31;12;54;9999;072;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111110000101000000000000;____;10;008;091;007;-06;048;162;0425716688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:49:13;12;55;9999;097;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111101100000000000000;____;05;044;056;032;017;069;395;0425720435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:50:13;12;56;9999;064;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000001101000000000000;____;09;035;086;025;023;039;016;0425718869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:51:45;12;57;9999;095;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100010001100000000000000;____;05;-05;087;011;-05;092;042;0425719856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:52:29;12;58;9999;074;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111000100000000000000;____;10;016;058;021;013;065;076;0425700864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:53:04;12;59;9999;076;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;05;047;060;023;030;055;254;0425700865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:53:27;12;60;9999;062;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000011101000000000000;____;01;035;102;012;013;037;049;0425719858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:54:07;12;61;9999;059;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000000000000000000000;____;01;030;099;007;030;032;033;0425719860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:54:19;12;62;9999;074;988;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011100001101000000000000;____;03;-09;072;024;-10;026;109;0425697554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:54:53;12;63;9999;056;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111010000000000000000;____;04;029;053;023;024;035;056;0425697555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:55:40;12;64;9999;076;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101111001000000000000000;____;04;048;071;032;025;050;068;0425716690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:55:53;12;65;9999;052;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000110010000000000000;____;07;033;055;009;030;034;037;0425718870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:56:09;12;66;9999;055;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000000000001000000000000;____;12;007;080;004;007;008;029;0425718871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:56:24;12;67;9999;053;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;10;032;076;037;030;034;079;0425719862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:57:26;12;68;9999;070;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110110001101000000000000;____;02;035;100;020;002;045;070;0425719863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:57:56;12;69;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001100000000000000;____;03;065;059;019;027;081;046;0425718872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:59:34;12;70;9999;059;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;100000000000000000000000;____;01;030;102;010;029;041;024;0425719865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:00:09;12;71;9999;055;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000001100000000000000;____;01;028;100;022;019;029;029;0425716691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:00:47;12;72;9999;049;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001110001100000000000000;____;04;-06;086;011;-06;022;084;0425716692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:02:32;12;73;9999;041;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111001001000000000000;____;09;045;068;011;041;045;122;0425718749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:05:02;12;74;9999;066;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;010100001101000000000000;____;10;010;084;011;009;022;040;0425700867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:05:10;12;75;9999;064;615;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111000000000000000000000;____;02;032;099;012;021;033;038;0425720325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:06:18;12;76;9999;056;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001101001101000000000000;____;10;-07;085;013;-08;001;144;0425719051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:07:22;12;77;9999;072;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;111001000000000000000000;____;03;036;083;027;036;051;013;0425720326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:07:30;12;78;9999;069;675;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;010000001001000000000000;____;02;044;101;006;039;070;017;0425700868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:08:00;12;79;9999;073;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001001001100000000000000;____;06;003;056;019;001;005;095;0425720513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:08:08;12;80;9999;075;617;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000011011000000000000000;____;05;011;058;029;005;017;052;0425720515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:09:20;12;81;9999;072;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011000000001000000000000;____;03;050;088;020;012;050;015;0425718753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:10:09;12;82;9999;057;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001000001001000000000000;____;09;065;082;005;049;065;039;0425720328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:11:03;12;83;9999;076;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;011111001100000000000000;____;04;046;059;041;-02;047;064;0425718874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:12:07;12;84;9999;051;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000011111101000000000000;____;12;018;059;004;-08;020;110;0425720519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:12:46;12;85;9999;043;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000000000000000000000;____;01;018;103;010;016;023;058;0425720520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:13:59;12;86;9999;074;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;101000011001000000000000;____;01;070;080;011;063;072;048;0425718757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:14:31;12;87;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;000110100100000000000000;____;05;023;057;028;023;047;050;0425718760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:15:40;12;88;9999;075;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;001111000100000000000000;____;05;036;070;031;017;042;117;0425697559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:16:01;12;89;9999;056;999;09;111111111111000000000000;000000000000000000000000;11101000;000;_;e;10;110000000101000000000000;____;01;025;104;008;003;026;052;0425718762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
